college_code,college_name,student_count
5902,Bharath Niketan Engineering College,0,
864,MRK POLYTECHNIC COLLEGE,0,
2125,SRI KALAIMAGAL COLLEGE OF ENGINEERING,0,
840,HAYAGRIVA POLYTECHNIC COLLEGE,0,
420,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,0,
4113,LORD VENKATESHWARAA ENGINEERING COLLEGE,0,
769,St. MICHAEL POLYTECHNIC COLLEGE KALAYARKOIL ,0,
4125,Sri Sairam Engineering College,0,
7278,SRI KRISHNA COLLEGE OF TECHNOLOGY,0,
9228,AR SCHOOL OF BUSINESS,0,
777,VICKRAM POLYTECHNIC COLLEGE,0,
382,ADHIYAMAAN POLYTECHNIC COLLEGE,0,
704,MAISURII  POLYTECHNIC COLLEGE,0,
379,I R T POLYTECHNIC COLLEGE,0,
561,DUSI POLYTECHNIC COLLEGE,0,
871,M.M POLYTECHNIC COLLEGE,0,
129,GOVERNMENT POLYTECHNIC COLLEGE,0,
542,LAKSHMI NARAYANA POLYTECHNIC COLLEGE,0,
8149,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,0,
6228,SRI GANESH SCHOOL OF BUSINESS MANAGEMENT,0,
329,C S I POLYTECHNIC COLLEGE,0,
9211,ODAIYAPPA COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
571,VANDAYAR POLYTECHNIC COLLEGE,0,
202,Ramakrishna Mission Polytechnic College,0,
2007,Coimbatore Institute of Technology Coimbatore,0,
5116,PALLAVA RAJA COLLEGE OF ENGINEERING,0,
3123,ST.JOSEPH'S COLLEGE OF ENGINEERING,0,
9608,JAMES COLLEGE OF ENGINEERING AND TECHNOLOGY,0,
6210,GREENTECH COLLEGE OF ENGINEERING FOR WOMEN,0,
7332,VIVEKANANDHA ENGINEERING COLLEGE FOR WOMEN,0,
7215,Nehru Institute of Information Technology and Management ,0,
320,KONGU POLYTECHNIC COLLEGE,0,
533,PAAVAI POLYTECHNIC COLLEGE,0,
6221,PAAVAI ENGINEERING COLLEGE,0,
874,EVEREST POLYTECHNIC COLLEGE,0,
730,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,0,
7113,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY,0,
541,SRI DURGADEVI POLYTECHNIC COLLEGE,0,
7227,SREE NARAYANA GURU INSTITUTE OF  MANAGEMENT STUDIES,0,
2179,V.K.K. VIJAYAN ENGINEERING COLLEGE,0,
915,E S POLYTECHNIC COLLEGE,0,
892,VENKATRAMANA POLYTECHNIC COLLEGE,0,
772,PET POLYTECHNIC COLLEGE,0,
419,INDIRA GANDHI POLYTECHNIC COLLEGE,0,
2617,Sengunthar Engineering College (Autonomous),0,
7308,EXCEL COLLEGE OF TECHNOLOGY,0,
3403,MAHALAKSHMI ENGINEERING COLLEGE ,0,
741,NARASIMMA PALLAVAN POLYTECHNIC COLLEGE,0,
727,SRI RAJIV GANDHI POLYTECHNIC COLLEGE,0,
719,NATIONAL INSTITUTE OF POLYTECHNIC,0,
1130,MARG Institute of Design and Architecture Swarnabhoomi (MIDAS),0,
356,MORNING STAR POLYTECHNIC COLLEGE,0,
715,SRI RENGA POLYTECHNIC COLLEGE,0,
145,GOVERNMENT POLYTECHNIC COLLEGE,0,
365,PARK AMC  POLYTECHNIC COLLEGE,0,
1013,University College of Engineering Villupuram,0,
148,GOVERNMENT POLYTECHNIC COLLEGE,0,
1436,A.R ENGINEERING COLLEGE ,0,
1525,Podhigai College of Engineering and Technology, Tirupattur ,0,
3130,DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE,0,
819,SRI THIAGARAJAR POLYTECHNIC COLLEGE,0,
538,S B M INSTITUTE OF TECHNOLOGY,0,
6234,SKANDHA SCHOOL OF ARCHITECTURE,0,
6136,SPECTRUM COLLEGE OF TECHNOLOGY,0,
1134,KUMARAN INSTITUTE OF TECHNOLOGY,0,
598,THE KAAVERY INSTITUTE OF TECHNOLOGY,0,
799,SRI VIGNESH POLYTECHNIC COLLEGE,0,
