college_id,college_code,college_name
493,1121,SAMS COLLEGE OF ENGINEERING AND TECHNOLOGY
507,1135,RVS Padmavathy School of Architecture.
1786,229,SANKAR POLYTECHNIC COLLEGE
1784,225,V S VELLAICHAMY NADAR POLYTECHNIC COLLEGE
1564,705,KONGUNADU POLYTECHNIC COLLEGE
1767,949,VASANTHA MURUGU POLYTECHNIC COLLEGE
1567,710,PAVENDAR BHARATHIDASAN POLYTECHNIC COLLEGE
1775,101,CENTRAL POLYTECHNIC COLLEGE
1770,952,MASS POLYTECHNIC COLLEGE
1772,954,SREE SAKTHI ENGINEERING COLLEGE
1570,713,SUDHARSHANA POLYTECHNIC COLLEGE
1572,715,SRI RENGA POLYTECHNIC COLLEGE
1369,210,C I T SANDWICH POLYTECHNIC COLLEGE
1581,724,MUSIRI INSTITUTE OF TECHNOLOGY
1451,378,I R T POLYTECHNIC COLLEGE
1394,310,MEENAKSHI KRISHNAN POLYTECHNIC COLLEGE
1318,104,INSTITUTE OF LEATHER TECHNOLOGY
1349,139,GOVERNMENT POLYTECHNIC COLLEGE
